record,model,held_clone_index,trace_variance_ratio,mean_squared_mahalanobis_per_dimension,maximum_absolute_whitened_mean,maximum_absolute_whitened_covariance_error,maximum_absolute_whitened_component_excess_kurtosis,maximum_absolute_whitened_lag1_correlation,maximum_absolute_whitened_state_correlation,minimum_integrated_covariance_eigenvalue,sample_count,local_noise_gate_pass,center_variance_rate,center_relative_cross_rate,relative_variance_rate,fit_uses_held_clone,thermodynamic_claim_allowed
held_clone,exact_configuration_dependent,1.0,0.9312412153589399,0.9382032818191314,0.0050928872423043415,0.07039665329382805,0.128375764223569,0.03400532352220819,0.03927035441860019,0.0006675312000941348,63936.0,1.0,nan,nan,nan,0.0,0.0
held_clone,constant_full,1.0,0.9331161685002797,0.9363476293809688,0.006022016076003776,0.07057990919041823,0.12828623239707415,0.033879983624170856,0.03666289060558325,0.0009982523750792073,63936.0,1.0,2.5354508967383773,-0.9071459118201058,0.43884092690185544,0.0,0.0
held_clone,constant_block_isotropic,1.0,0.9331161685002797,0.9362719686356589,0.005994368452579897,0.06930461376013786,0.12851318369460252,0.03386929213003697,0.03636283473143102,0.0010083532369911138,63936.0,1.0,2.5354508967383773,-0.9071459118201058,0.43884092690185544,0.0,0.0
held_clone,constant_block_uncorrelated,1.0,0.9331161685002797,0.9333658984619476,0.004839019771972592,0.8157551781654584,0.10364130023561957,0.033475490268801214,0.04648961066471518,0.004388409269018554,63936.0,0.0,2.5354508967383773,0.0,0.43884092690185544,0.0,0.0
held_clone,constant_single_scalar,1.0,0.9331161685002797,0.9331161685002796,0.004590931775326227,0.7299100029613518,0.10364130023562002,0.03347549026880134,0.046489610664714937,0.014871459118201164,63936.0,0.0,1.4871459118201165,0.0,1.4871459118201165,0.0,0.0
held_clone,exact_configuration_dependent,2.0,0.9357165116156715,0.9378727739958075,0.007143230772013186,0.06638666721703079,0.12018308275587586,0.031931325382212605,0.040032991754161654,0.0006534420081079946,63936.0,1.0,nan,nan,nan,0.0,0.0
held_clone,constant_full,2.0,0.9315926700359697,0.9365667753016261,0.007307674409972513,0.06646033034689047,0.11833919258980696,0.03153096333256473,0.03891406892954248,0.0009971269829997075,63936.0,1.0,2.5392007687910083,-0.9095305915880422,0.4398604143850923,0.0,0.0
held_clone,constant_block_isotropic,2.0,0.9315926700359697,0.9367442300346199,0.007340849723620364,0.06677157469876949,0.11836139848077076,0.0315254418916347,0.039278039958621926,0.0010062693116239536,63936.0,1.0,2.5392007687910083,-0.9095305915880422,0.4398604143850923,0.0,0.0
held_clone,constant_block_uncorrelated,2.0,0.9315926700359697,0.9307730801891155,0.00512062762140452,0.8320657438802016,0.1332760372634203,0.03208789910708797,0.04480680686255169,0.004398604143850924,63936.0,0.0,2.5392007687910083,0.0,0.4398604143850923,0.0,0.0
held_clone,constant_single_scalar,2.0,0.9315926700359697,0.9315926700359701,0.006685701791435412,0.7314120407042539,0.1332760372634203,0.03208789910708767,0.04480680686255146,0.014895305915880501,63936.0,0.0,1.4895305915880501,0.0,1.4895305915880501,0.0,0.0
held_clone,exact_configuration_dependent,3.0,0.9285024362252815,0.937377728024709,0.0044501724275995075,0.072694520559754,0.12822684400533646,0.03194419979948154,0.032827938244001625,0.0006640533347961339,63936.0,1.0,nan,nan,nan,0.0,0.0
held_clone,constant_full,3.0,0.9285664307181994,0.9374790955970468,0.004501268785273994,0.07234053455730083,0.1294979435994259,0.03185441329795353,0.03261036317043478,0.000997371521528353,63936.0,1.0,2.53669335130393,-0.9078649968933483,0.4390366424827748,0.0,0.0
held_clone,constant_block_isotropic,3.0,0.9285664307181994,0.9374078438825858,0.004491271006914189,0.07184177235563416,0.12920179694534806,0.03184159176129762,0.03242418794741632,0.0010068809051127171,63936.0,1.0,2.53669335130393,-0.9078649968933483,0.4390366424827748,0.0,0.0
held_clone,constant_block_uncorrelated,3.0,0.9285664307181994,0.9295966442316056,0.005220688861307997,0.8172580266146817,0.1225650038412045,0.032355253625347455,0.04136005952711339,0.004390366424827748,63936.0,0.0,2.53669335130393,0.0,0.4390366424827748,0.0,0.0
held_clone,constant_single_scalar,3.0,0.9285664307181994,0.9285664307181994,0.006716338806336025,0.7316951671489684,0.1225650038412045,0.03235525362534791,0.04136005952711393,0.014878649968933526,63936.0,0.0,1.4878649968933526,0.0,1.4878649968933526,0.0,0.0
held_clone,exact_configuration_dependent,4.0,0.9357124224116546,0.9387382683975919,0.0035624590443287547,0.0737508346118455,0.13308483221730993,0.03118182851725233,0.028627987382446016,0.0006795218149776118,63936.0,1.0,nan,nan,nan,0.0,0.0
held_clone,constant_full,4.0,0.9379138171274363,0.9379147072362609,0.004263417067601216,0.07373180527237222,0.13272076381493392,0.031233577754946604,0.029098322997643224,0.0009979523035172871,63936.0,1.0,2.535333876876861,-0.9070205274401589,0.4387071780034358,0.0,0.0
held_clone,constant_block_isotropic,4.0,0.9379138171274363,0.9378584565677949,0.00426280659711593,0.07469933786911276,0.1325034122959141,0.031224323168001233,0.02901047790256237,0.001007856570790522,63936.0,1.0,2.535333876876861,-0.9070205274401589,0.4387071780034358,0.0,0.0
held_clone,constant_block_uncorrelated,4.0,0.9379138171274363,0.9390214644368888,0.0031639795455098672,0.8293801132766255,0.09634439398770578,0.029391415315084005,0.03889992426985751,0.004387071780034358,63936.0,0.0,2.535333876876861,0.0,0.4387071780034358,0.0,0.0
held_clone,constant_single_scalar,4.0,0.9379138171274363,0.9379138171274359,0.003201893939021621,0.7260850281369395,0.09634439398770489,0.029391415315084244,0.038899924269857576,0.014870205274401487,63936.0,0.0,1.4870205274401487,0.0,1.4870205274401487,0.0,0.0
