replicate,temperature,block_size,block_count,maximum_lag,calibration_event_count,heldout_event_count,slow_mean_count,fast_mean_count,slow_to_fast_probability,fast_to_slow_probability,stationary_slow_probability,stationary_fast_probability,initial_slow_probability,exchange_eigenvalue,exchange_time,log_likelihood,single_poisson_log_likelihood,log_likelihood_gain_per_observation,iterations,converged,calibration_mean_count,calibration_count_variance,calibration_fano_factor,heldout_mean_count,heldout_count_variance,heldout_fano_factor,predicted_mean_count,predicted_fano_factor,heldout_mean_relative_error,heldout_fano_relative_error,heldout_identity_correlation_rmse,heldout_early_identity_signed_error,heldout_late_identity_signed_excess,heldout_late_identity_absolute_error,heldout_hmm_log_likelihood,heldout_poisson_log_likelihood,heldout_hmm_log_likelihood_gain_per_observation,poisson_identity_correlation_rmse,static_identity_correlation,static_identity_correlation_rmse,thermodynamic_claim_allowed,maximum_mean_relative_error,maximum_fano_relative_error,maximum_identity_correlation_rmse,maximum_late_identity_absolute_error,finite_exchange_hmm_transfer_pass,primary_failure
1.0,0.45,20.0,250.0,30.0,82267.0,84739.0,0.009624981055740209,0.4882656882422054,0.024257475560657788,0.1041994385289597,0.8111625541328616,0.18883744586713835,0.800704176820265,0.8715430859103824,145.4651496539576,-233025.86141023051,-285368.81472802255,0.06389130707084778,33.0,True,0.1004174549893195,0.14330418947866178,1.4270844595085959,0.10343484894720781,0.14908029824237118,1.4412966206240645,0.10001026968887315,1.3508897454080666,0.03310856344057245,0.06272607173452804,0.04191652375673288,0.027032671488075893,0.04933495173070279,0.04933495173070279,-236585.3836046394,-291887.58730221743,0.06750345278923164,0.1063532918534867,0.05173194582231816,0.06380711332591929,0.0,0.1,0.2,0.05,0.05,1.0,none
1.0,0.45,50.0,100.0,12.0,82267.0,84739.0,0.025956341690788406,1.1276371030360883,0.051019798186192136,0.20001438832566648,0.7967615530971436,0.20323844690285642,0.7822192765739849,0.7489658134881414,172.9733084449632,-173274.1635124167,-224645.47479698368,0.15676323248265783,28.0,True,0.2510436374732988,0.4889728198839919,1.9477602571624604,0.2585871223680195,0.508405815799989,1.9660910069467,0.24986022860936358,1.7865903874547902,0.0337483695194839,0.09129822518779063,0.06662579168752293,0.015102041014059986,0.08158797141089005,0.08158797141089005,-175091.9793863802,-229538.86718493438,0.16614857430135543,0.18135109693183882,0.12001680989491832,0.08504873071026828,0.0,0.1,0.2,0.05,0.05,0.0,identity_curve
1.0,0.45,100.0,50.0,6.0,82267.0,84739.0,0.05853594148885719,1.9807641180273414,0.08086786089081664,0.27252040842381053,0.7711642747857634,0.22883572521423656,0.7487895122604382,0.6466117306853728,229.35292086484012,-134239.45139363984,-183461.92896233857,0.3004118252590707,23.0,True,0.5020872749465976,1.310319109868589,2.609743714392992,0.517174244736039,1.3665924423272067,2.642421691019635,0.4984104202942808,2.308258282021125,0.036281436349049234,0.12646104523520085,0.07747014968283807,0.03480753260476965,0.10365808435094644,0.10365808435094644,-135185.55762786412,-187470.30440059982,0.3191012924793146,0.24825746855018077,0.21431251537408352,0.0884581709498572,0.0,0.1,0.2,0.05,0.05,0.0,identity_curve
2.0,0.45,20.0,250.0,30.0,82671.0,75776.0,0.009059168053295938,0.4907025883733657,0.024954574511737004,0.10648836608613556,0.8101489939419317,0.18985100605806826,0.8063227949359024,0.8685570594021275,141.92248529845705,-233644.60984052985,-286485.1040740528,0.06449861975407137,32.0,True,0.10091058895331095,0.14460863069959212,1.4330372282982042,0.0924943545926152,0.13352352491472688,1.4435856707452228,0.10049965596231022,1.3550295389725118,0.08654908080556711,0.061344562756012744,0.04861572520951016,0.02988655780324795,0.05147052787087958,0.05147052787087958,-216296.4517281181,-269542.1425020213,0.06499321424950039,0.1122988650021568,0.05325557575368396,0.0674885230345444,0.0,0.1,0.2,0.05,0.05,0.0,late_identity_decay
2.0,0.45,50.0,100.0,12.0,82671.0,75776.0,0.024678633557513232,1.1378242942877557,0.05266047618549102,0.2066291065597944,0.7969047748546753,0.20309522514532474,0.7820422872515798,0.7407104172547146,166.58585587109147,-173662.05652497982,-225548.46040542593,0.15833507439867592,27.0,True,0.2522764723832774,0.4938207255160271,1.9574585011866565,0.231235886481538,0.4573020124076136,1.9776429141941376,0.2507532021430631,1.799767312031799,0.08440435417918324,0.08994323539688176,0.07926184985609204,0.0266999653028282,0.09028691578793885,0.09028691578793885,-161080.63505170005,-213598.35189709617,0.16026157108756828,0.19199032548329714,0.12329011064361797,0.09057884367234297,0.0,0.1,0.2,0.05,0.05,0.0,identity_curve
2.0,0.45,100.0,50.0,6.0,82671.0,75776.0,0.056571284125838645,1.9915250072172606,0.08333955765149524,0.2796853764208297,0.7704302106287508,0.22956978937124917,0.7525791299745372,0.636975065927675,221.7173141790242,-134683.0610107804,-184252.36620316497,0.30252856388394617,23.0,True,0.5045529447665548,1.3256216265071967,2.6273191748400793,0.462471772963076,1.2383871768809886,2.677757323320708,0.5007782027790507,2.32234198856253,0.08282976833492728,0.13272873223531134,0.09509562987521755,0.05487784765213144,0.11524224893839405,0.11524224893839405,-125171.65720153335,-175815.55844902727,0.3090869774030755,0.26290619457218123,0.2195160617464632,0.09325246210587203,0.0,0.1,0.2,0.05,0.05,0.0,identity_curve
3.0,0.45,20.0,250.0,30.0,80085.0,91908.0,0.008378600547661404,0.4865620296184064,0.02340081026787165,0.10068424600237945,0.8114131469876127,0.1885868530123873,0.8577996553484383,0.8759149437297489,150.95901739853988,-226507.32419489758,-280302.52928445826,0.06566396715234749,31.0,True,0.09775404333231615,0.14125647536128344,1.4450192600328582,0.11218553555080867,0.16021147610448128,1.4280938742938187,0.09855770859878532,1.3550192479816094,0.12147579351574533,0.051169343715828264,0.02710942964440309,0.017708488304128744,0.03183818622362066,0.03183818622362066,-256859.22266160842,-309776.51909076225,0.06459236671242456,0.09414691748844137,0.04946029460241234,0.057373076323969714,0.0,0.1,0.2,0.05,0.05,0.0,mean_count
3.0,0.45,50.0,100.0,12.0,80085.0,91908.0,0.022585337790136068,1.1297130699995255,0.049811690286492766,0.19661840673966008,0.7978668560066086,0.20213314399339144,0.8326935663052876,0.7535699029738472,176.7199749327735,-168388.54990956438,-221272.73458856097,0.1613798739060012,27.0,True,0.24438510833079036,0.48269581507271486,1.9751441418409024,0.28046383887702164,0.5414315822291447,1.9304862416382766,0.2463725471038935,1.8023633834869124,0.12155325231812353,0.0663681798854131,0.0409152207185777,-0.005498748008592624,0.05336058262350757,0.05336058262350757,-190206.64159086812,-241861.8749139944,0.15762964090059894,0.15888436516959087,0.11511062813676136,0.07812049305678939,0.0,0.1,0.2,0.05,0.05,0.0,mean_count
3.0,0.45,100.0,50.0,6.0,80085.0,91908.0,0.05201590503860394,1.9932395495444353,0.0795037700255996,0.2706753678790227,0.7729625742374924,0.22703742576250763,0.7957265859560891,0.6498208620953777,231.98704631242217,-130503.16087902436,-181230.19154904113,0.3095943281661078,22.0,True,0.4887702166615807,1.2951470076207343,2.64980754446722,0.5609276777540433,1.4393912663593613,2.566090644916453,0.49274632411652114,2.3420962789567916,0.12155105968477176,0.0872901221955682,0.04052533272341488,-0.0018209971925871038,0.0601525499406185,0.0601525499406185,-146771.3917208727,-195957.0847202932,0.3001873237682057,0.2146921011019831,0.2064559788639083,0.09065537541341341,0.0,0.1,0.2,0.05,0.05,0.0,mean_count
