temperature,metric,replicate_mean,parent_block_mean,relative_protocol_shift,ci95_overlap,replicate_ci95_low,replicate_ci95_high,parent_block_ci95_low,parent_block_ci95_high,interpretation,thermodynamic_claim_allowed
0.58,diffusion,0.0009511336796820766,0.0009090007941002448,0.046350768729015446,True,0.0009228481997375493,0.000979419159626604,0.0008881031940453676,0.0009298983941551221,statistical_and_protocol_uncertainty_must_be_reported_separately,False
0.58,alpha_relaxation_time,16.820378786626502,17.191143371103347,-0.021567185874330153,True,16.264573957693248,17.376183615559757,16.900270836897228,17.482015905309467,statistical_and_protocol_uncertainty_must_be_reported_separately,False
0.58,diffusion_alpha_product,0.015994735713949312,0.015614834643348055,0.02432949687130348,True,0.015469387492191958,0.016520083935706666,0.015416367562877818,0.015813301723818292,statistical_and_protocol_uncertainty_must_be_reported_separately,False
0.58,ngp_peak,0.546223208873025,0.5523158444384766,-0.011031071490708033,True,0.5295332661035648,0.5629131516424852,0.5454767378438672,0.559154951033086,statistical_and_protocol_uncertainty_must_be_reported_separately,False
0.58,overlap_chi4_peak,5.259746374637116,5.5428461850117445,-0.05107480902864503,True,4.059004294980172,6.46048845429406,4.956810002299538,6.128882367723951,statistical_and_protocol_uncertainty_must_be_reported_separately,False
0.45,diffusion,2.7296702914512262e-05,2.8751792990172228e-05,-0.050608672515044084,True,1.992824074462625e-05,3.4665165084398274e-05,2.543099721108727e-05,3.2072588769257185e-05,statistical_and_protocol_uncertainty_must_be_reported_separately,False
0.45,alpha_relaxation_time,1382.5047837581885,1283.7388144995823,0.07693618681858316,True,788.7025801699638,1976.3069873464133,1034.7656839125482,1532.7119450866164,statistical_and_protocol_uncertainty_must_be_reported_separately,False
0.45,diffusion_alpha_product,0.037273675924802,0.0354901481188456,0.050254166310715664,True,0.030887085933752993,0.043660265915851,0.032806916672623754,0.038173379565067445,statistical_and_protocol_uncertainty_must_be_reported_separately,False
0.45,ngp_peak,2.150850788462476,2.1087707899562997,0.019954752174392576,True,1.8416216871210636,2.4600798898038883,1.9388331872886708,2.2787083926239284,statistical_and_protocol_uncertainty_must_be_reported_separately,False
0.45,overlap_chi4_peak,10.352436943546195,14.684771244469417,-0.2950222532444874,True,-2.3995465319034643,23.104420418995854,6.935576043709227,22.433966445229608,statistical_and_protocol_uncertainty_must_be_reported_separately,False
