replicate,temperature,block_size,calibration_horizon,scoring_horizon,calibration_point_count,heldout_point_count,calibration_bic_single,calibration_bic_two_mode,calibration_bic_gain_two_over_one,fast_amplitude,fast_time,slow_amplitude,slow_time,slow_amplitude_fraction,time_scale_ratio,maximum_candidate_time,single_mode_heldout_rmse,two_mode_heldout_rmse,hmm_heldout_rmse,static_heldout_rmse,poisson_heldout_rmse,two_mode_late_signed_error,two_mode_late_absolute_error,finite_recovery_enforced,thermodynamic_claim_allowed,minimum_bic_gain,maximum_heldout_rmse,maximum_late_absolute_error,two_mode_calibration_selected,two_mode_heldout_transfer_pass,primary_failure
1.0,0.58,20.0,300.0,600.0,15.0,30.0,-148.28585112633402,-154.11915807546143,5.8333069491274046,0.33342799871402373,12.267040025586974,0.02155592031595665,115.65495055388823,0.06072365298929536,9.428105746182577,6000.0,0.005408116181401329,0.0045062446203776784,0.006131222382540521,0.01526494363052741,0.01583254659356878,-0.006085947470711499,0.006085947470711499,1.0,0.0,6.0,0.05,0.05,0.0,0.0,calibration_model_selection
1.0,0.58,50.0,300.0,600.0,6.0,12.0,-52.610157621325186,-49.74835786380042,-2.8617997575247642,0.2528669099327839,29.52890893471312,0.026370729673590453,152.39910375224642,0.09443830606347982,5.161013706574561,6000.0,0.007391050066703613,0.006872135669950026,0.007387778065360429,0.025304755439661323,0.021966038422136406,0.0017738955468637888,0.0017738955468637888,1.0,0.0,6.0,0.05,0.05,0.0,0.0,calibration_model_selection
2.0,0.58,20.0,300.0,600.0,15.0,30.0,-166.48707784041824,-164.16379233366683,-2.3232855067514038,1.2995843122580564,5.0,0.11368616721651716,30.09605419787056,0.08044190327868693,6.019210839574113,6000.0,0.006060048038821432,0.005883291287007341,0.007515644586868459,0.015050563403207389,0.015920371409840546,0.00765717366275252,0.00765717366275252,1.0,0.0,6.0,0.05,0.05,0.0,0.0,calibration_model_selection
2.0,0.58,50.0,300.0,600.0,6.0,12.0,-63.05016647298521,-59.73395694672891,-3.3162095262563014,0.5666674551045581,23.357594414296916,0.0011960250417591938,6000.0,0.0021061841156804497,256.87576783709665,6000.0,0.010536725247702992,0.010014662571130364,0.009940038184223099,0.02058277754002133,0.019090260351404934,0.00644807751125977,0.00644807751125977,1.0,0.0,6.0,0.05,0.05,0.0,0.0,calibration_model_selection
3.0,0.58,20.0,300.0,600.0,15.0,30.0,-150.64334858928817,-145.26698841383384,-5.376360175454323,0.13215347556448043,17.564981370316026,0.07837594664213932,19.214304605098597,0.3722802533757912,1.0938983765487988,6000.0,0.006129818769496783,0.006130783386679087,0.007169628551040205,0.013388493528662554,0.014042404832652653,-0.007253793049516909,0.007253793049516909,1.0,0.0,6.0,0.05,0.05,0.0,0.0,calibration_model_selection
3.0,0.58,50.0,300.0,600.0,6.0,12.0,-55.36239032278358,-51.845951432747476,-3.516438890036106,2.8286039476311937,12.5,0.0008946477331452112,6000.0,0.0003161859612197519,480.0,6000.0,0.010298802067334283,0.010054214099511268,0.009068454413511349,0.018053208148301934,0.015112572381908797,-0.009495237913474832,0.009495237913474832,1.0,0.0,6.0,0.05,0.05,0.0,0.0,calibration_model_selection
4.0,0.58,20.0,300.0,600.0,15.0,30.0,-157.83980880592534,-154.5776554677483,-3.2621533381770575,0.2218763637815913,19.214304605098597,0.001759700983348237,6000.0,0.007868592148577788,312.2673509822403,6000.0,0.005191286743560473,0.004856120444066138,0.006207874115689602,0.016114495531266437,0.016859829225526965,0.004701324201649241,0.004701324201649241,1.0,0.0,6.0,0.05,0.05,0.0,0.0,calibration_model_selection
4.0,0.58,50.0,300.0,600.0,6.0,12.0,-58.469441457172636,-58.89622327519558,0.42678181802294546,3.2341653581709284,12.5,0.004697999696537551,6000.0,0.0014505087672580328,480.0,6000.0,0.008161242815760594,0.008221675546219973,0.009893486322341672,0.025965641559820344,0.0234649516456277,-0.0033900371218309965,0.0033900371218309965,1.0,0.0,6.0,0.05,0.05,0.0,0.0,calibration_model_selection
5.0,0.58,20.0,300.0,600.0,15.0,30.0,-167.49958113181364,-163.97942686950898,-3.5201542623046578,1.4297989074461381,5.0,0.10739430641008481,27.512660081663434,0.06986389573024074,5.502532016332687,6000.0,0.007832519729737373,0.0076875707408408395,0.008683328921564724,0.01397367471983491,0.016650018489582516,-0.007423606978153869,0.007423606978153869,1.0,0.0,6.0,0.05,0.05,0.0,0.0,calibration_model_selection
5.0,0.58,50.0,300.0,600.0,6.0,12.0,-67.73640250972967,-64.68488611406443,-3.051516395665246,0.4450059736351919,25.25619229360844,0.0008956733522260148,6000.0,0.0020086791746057133,237.56550196675587,6000.0,0.015316763404246408,0.014791803453664827,0.01418442618960608,0.019984025968357893,0.024635340494997944,-0.01874134929241791,0.01874134929241791,1.0,0.0,6.0,0.05,0.05,0.0,0.0,calibration_model_selection
