replicate,temperature,block_size,calibration_horizon,scoring_horizon,calibration_point_count,heldout_point_count,calibration_mean_count,heldout_mean_count,heldout_mean_relative_error,calibration_fano_factor,heldout_fano_factor,heldout_fano_relative_error,heldout_count_tv_distance,single_clock_count_tv_distance,hmm_count_tv_distance,poisson_count_tv_distance,two_clock_mean_log_likelihood,single_clock_mean_log_likelihood,hmm_mean_log_likelihood,poisson_mean_log_likelihood,empirical_split_half_pair_tv_distance,two_clock_pair_tv_distance,single_clock_pair_tv_distance,hmm_pair_tv_distance,poisson_pair_tv_distance,zero_lag_amplitude_from_fano,calibration_bic_single_clock,calibration_bic_two_clock,calibration_bic_gain_two_over_one,fast_amplitude_fraction,fast_time,slow_time,time_scale_ratio,maximum_candidate_time,fast_gamma_shape,slow_gamma_shape,fast_retention_probability,slow_retention_probability,single_clock_identity_rmse,two_clock_identity_rmse,hmm_identity_rmse,static_identity_rmse,poisson_identity_rmse,two_clock_late_signed_error,two_clock_late_absolute_error,positive_intensity_generator,finite_recovery_enforced,thermodynamic_claim_allowed,minimum_bic_gain,maximum_fano_relative_error,maximum_count_tv_distance,maximum_identity_rmse,maximum_late_absolute_error,two_clock_cox_transfer_pass,primary_failure,pair_tv_tolerance,gamma_pair_distribution_pass,hmm_pair_distribution_pass,single_clock_cox_transfer_pass
1.0,0.58,20.0,300.0,600.0,15.0,30.0,0.2844642017666125,0.30034886885665035,0.052887387758464355,1.077079389315119,1.0617347733983407,0.014452400261568243,0.012666619271822254,0.012684153094472673,0.010518093856112362,0.008903485729669595,-0.697035772723574,-0.6970324610714825,-0.6968976483060316,-0.6978947996303417,0.02244600413657475,0.018103738563237756,0.017970385773330412,0.01600036135802208,0.031191441321695178,0.07156333143105753,-134.85333145429274,-129.4491127304187,-5.404218723874038,0.9952221645951287,56.409000534938734,6000.0,106.36600441597447,6000.0,3.243248663068685,3.243248663068691,0.7014866936437427,0.9966722160545233,0.006919947120351121,0.006889965133825611,0.006131222382540521,0.01526494363052741,0.01583254659356878,-0.00627666947941113,0.00627666947941113,1.0,1.0,0.0,6.0,0.2,0.03,0.05,0.05,0.0,calibration_model_selection,0.03366900620486213,1.0,1.0,1.0
1.0,0.58,50.0,300.0,600.0,6.0,12.0,0.7042213406571051,0.7440748652222561,0.05356117566643881,1.205415821348904,1.1614070213122623,0.03789265884316473,0.020659528579861947,0.021043528245383122,0.015730630515115116,0.038986652403143474,-1.165992504086393,-1.1659079595779682,-1.16464641392929,-1.1716646378448625,0.028989929813854162,0.04228083790659898,0.04183927387128955,0.025036772273746725,0.06860440912725752,0.1704107559489606,-54.3517046332356,-51.22137602574019,-3.1303286074954073,0.9504510751531403,47.193911683487805,284.77411636378633,6.0341282636976885,6000.0,2.3906687291006827,2.3906687291006867,0.34664339997729343,0.838972160454918,0.0074110425759908215,0.006885432681689995,0.007387778065360429,0.025304755439661323,0.021966038422136406,0.0012609591515007064,0.0012609591515007064,1.0,1.0,0.0,6.0,0.2,0.03,0.05,0.05,0.0,calibration_model_selection,0.04348489472078124,1.0,1.0,1.0
2.0,0.58,20.0,300.0,600.0,15.0,30.0,0.28714463624442266,0.30523138335161526,0.0592558566835093,1.069243231402636,1.0630574112659104,0.005818895641167332,0.012981273596200125,0.01298130041452963,0.013286586292820845,0.009981336795181083,-0.7041205907431497,-0.7041205847875692,-0.7040120548509208,-0.7050736574629246,0.02387854745193774,0.020387485615203347,0.020414816831593324,0.019504601595892682,0.030662001248695597,0.06475910192277079,-133.28193194918873,-127.91316235062472,-5.368769598564015,0.5098008260729145,51.56694784839762,56.409000534938734,1.0938983765487988,6000.0,2.0736483389612466,2.0736483389612457,0.678517280171076,0.7014866936437427,0.008613780669318926,0.00863508591949566,0.007515644586868459,0.015050563403207389,0.015920371409840546,0.007656119285162362,0.007656119285162362,1.0,1.0,0.0,6.0,0.2,0.03,0.05,0.05,0.0,calibration_model_selection,0.03581782117790661,1.0,1.0,1.0
2.0,0.58,50.0,300.0,600.0,6.0,12.0,0.7119519886074662,0.7559963381141288,0.05826000376739049,1.1859220541402766,1.1741723871623706,0.010006764855287953,0.0206949533090234,0.02068618867047343,0.019810862446632375,0.04016012295011144,-1.1764688839352209,-1.176467293934941,-1.1756416408827317,-1.183387939316266,0.032499237107110175,0.04113696369668125,0.04093107546196486,0.02776003453552023,0.0682544145576159,0.15677426142062867,-55.76461223328414,-52.28476769109186,-3.479844542192282,0.5516308291007528,47.193911683487805,51.030019933738124,1.0812839646770052,6000.0,1.9197831560526841,1.9197831560526841,0.34664339997729343,0.37538038321309664,0.009831629596801663,0.009895979936703098,0.009940038184223099,0.02058277754002133,0.019090260351404934,0.007529475137494442,0.007529475137494442,1.0,1.0,0.0,6.0,0.2,0.03,0.05,0.05,0.0,calibration_model_selection,0.048748855660665266,1.0,1.0,1.0
3.0,0.58,20.0,300.0,600.0,15.0,30.0,0.2921426156092009,0.30802728269923874,0.05156902645389305,1.0794908325303731,1.05177779387782,0.026348758087368696,0.014171210433524482,0.014206447322917188,0.014259403212473015,0.00831262711939821,-0.7072346994861552,-0.707229821159525,-0.7072746285038817,-0.707726018234656,0.02473468280608957,0.01772252787089662,0.017819627741770185,0.022821694562539695,0.026158160528118306,0.07363733913704784,-137.3731749010068,-131.95750083333039,-5.415674067676406,0.04281233778827104,36.013349511583826,39.39494456480603,1.093898376548799,6000.0,2.616028517713199,2.6160285177131994,0.5738715885951671,0.6018907347955678,0.007532603209082988,0.007532172456779269,0.007169628551040205,0.013388493528662554,0.014042404832652653,-0.007253810357568749,0.007253810357568749,1.0,1.0,0.0,6.0,0.2,0.03,0.05,0.05,0.0,calibration_model_selection,0.03710202420913436,1.0,1.0,1.0
3.0,0.58,50.0,300.0,600.0,6.0,12.0,0.7239751805513173,0.7618756993184823,0.04974632843791715,1.1749485837446336,1.1489921244465378,0.022590632908470853,0.017914221552284004,0.01815304936781777,0.019746402895784637,0.03380790810492745,-1.177406927462867,-1.177361903006918,-1.1768471224220036,-1.182391317915302,0.033349317755787096,0.036109743377965624,0.03551947025370626,0.029571166980404493,0.05550707455268083,0.1488989272935346,-53.63643045016315,-50.05845389115016,-3.5779765590129884,0.8557673649140193,40.365138827210174,43.64617734582356,1.0812839646770058,6000.0,2.4304552381542806,2.430455238154282,0.2897627974167185,0.31804077020964266,0.008843420495379409,0.00885520852211224,0.009068454413511349,0.018053208148301934,0.015112572381908797,-0.008685794813224991,0.008685794813224991,1.0,1.0,0.0,6.0,0.2,0.03,0.05,0.05,0.0,calibration_model_selection,0.05002397663368065,1.0,1.0,1.0
4.0,0.58,20.0,300.0,600.0,15.0,30.0,0.28471162648764115,0.2992107151399187,0.04845778549574142,1.0789510715802013,1.0648566516562994,0.013235978666216841,0.011441405798797159,0.011478896224569558,0.011267187605279503,0.008932989311913622,-0.6955421427496049,-0.6955348198714277,-0.695521407455597,-0.6964876244752095,0.017733021394907317,0.017976272873918463,0.01770387118757241,0.015472447079340312,0.03386326050418001,0.07317391275636975,-134.7716988969635,-129.3567742568203,-5.414924640143198,0.07124709118987703,43.09406590367125,47.140528730912905,1.0938983765487984,6000.0,2.3811418856450173,2.381141885645018,0.6287000391325149,0.6542515431977293,0.006975806416710354,0.0069945493185634795,0.006207874115689602,0.016114495531266437,0.016859829225526965,0.006293361163557462,0.006293361163557462,1.0,1.0,0.0,6.0,0.2,0.03,0.05,0.05,0.0,calibration_model_selection,0.03,1.0,1.0,1.0
4.0,0.58,50.0,300.0,600.0,6.0,12.0,0.7056250635744075,0.7407588241277592,0.04742941887289909,1.18968991408164,1.1823434498478531,0.006213477340050622,0.02101422458262641,0.020684205067558643,0.012101756467040054,0.04653620032224614,-1.1654759990675436,-1.165412656397916,-1.164445525605394,-1.1728958139709476,0.024935699027856494,0.036965579756113205,0.036507653197990354,0.025882662816392225,0.07577163932602765,0.15944483670609888,-55.141590775030224,-51.5728353846072,-3.5687553904230214,0.1844207944138515,43.64617734582356,47.193911683487805,1.0812839646770056,6000.0,2.094939209510978,2.094939209510978,0.31804077020964266,0.34664339997729343,0.009465194454401601,0.009590775093186161,0.009893486322341672,0.025965641559820344,0.0234649516456277,0.0008604658545507772,0.0008604658545507772,1.0,1.0,0.0,6.0,0.2,0.03,0.05,0.05,0.0,calibration_model_selection,0.03740354854178474,1.0,1.0,1.0
5.0,0.58,20.0,300.0,600.0,15.0,30.0,0.29112817425298354,0.29743750463921353,0.02121228926353147,1.0710350598329677,1.068023897312872,0.002819377476170448,0.004268326090774702,0.004288551077744978,0.003979278128065602,0.010641357850220374,-0.692909141384366,-0.6929044239927099,-0.6928835329175976,-0.693974108715954,0.009400535720340398,0.013526304660786918,0.013337372403485384,0.013144638383751864,0.037414193896170546,0.0663237483972241,-135.56560750824082,-130.15782757148844,-5.407779936752377,0.8053637922432504,47.140528730912905,51.56694784839762,1.0938983765487984,6000.0,2.287241753005386,2.2872417530053877,0.6542515431977293,0.678517280171076,0.009157819599899466,0.009119468525175518,0.008683328921564724,0.01397367471983491,0.016650018489582516,-0.00742387964677184,0.00742387964677184,1.0,1.0,0.0,6.0,0.2,0.03,0.05,0.05,0.0,calibration_model_selection,0.03,1.0,1.0,1.0
5.0,0.58,50.0,300.0,600.0,6.0,12.0,0.7215339233038348,0.736669718238226,0.020546242854381225,1.182010216318913,1.1766991475760293,0.004513531563122397,0.012495846071247652,0.012495846071247652,0.014185457824336712,0.04594097737332041,-1.1609182863804433,-1.1609182863804433,-1.1605144960944493,-1.1678749504240864,0.016740049697022523,0.02737754416952868,0.02737754416952868,0.01319385763241122,0.0733110975104609,0.15398362366591056,-58.71032520923636,-55.12680627078025,-3.583518938456109,0.0,12.5,47.193911683487805,3.7755129346790244,6000.0,0.0,3.9642495783840177,0.01831563888873418,0.34664339997729343,0.014841788742999126,0.014841788742999126,0.01418442618960608,0.019984025968357893,0.024635340494997944,-0.017931374028928932,0.017931374028928932,1.0,1.0,0.0,6.0,0.2,0.03,0.05,0.05,0.0,calibration_model_selection,0.03,1.0,1.0,1.0
