record,member_index,epsilon,stride,frame_time_tau,interval_count,maximum_jacobian_gram_condition_number,trace_variance_ratio,mean_squared_mahalanobis,summed_mean_squared_mahalanobis,observed_predicted_energy_correlation,whitened_max_abs_component_excess_kurtosis,whitened_lag1_correlation,minimum_covariance_eigenvalue,valid_sample_count,fit_parameters_from_macro_observables,thermodynamic_claim_allowed,cross_epsilon_covariance_relative_l2,cross_epsilon_covariance_correlation
member,1,0.001,2,0.002,100,1.9308966734497837,0.8092809320072187,2.380954949229688,7.9065188136918625,0.5938741417859775,0.4756682275522399,0.23416845773292302,7.90326164703075e-05,100.0,False,False,,
member,1,0.002,2,0.002,100,1.931869151074467,0.8097460033241356,2.3808131225566402,7.898066090286868,0.5941889981033611,0.47554188605411074,0.23517019735764585,7.897866493075103e-05,100.0,False,False,,
member,2,0.001,2,0.002,100,1.9212424898828429,0.772721293953741,2.4379118680752954,6.524847573878865,0.6807701350191063,0.6021664327216132,0.21951753344639932,6.532571980898197e-05,100.0,False,False,,
member,2,0.002,2,0.002,100,1.9216030414535161,0.7733249509280521,2.4456701472985007,6.519704782168533,0.6809343834554825,0.6060938681560106,0.21793129098564076,6.533853569754167e-05,100.0,False,False,,
member,3,0.001,2,0.002,100,1.8658596603276272,0.7340852213508922,2.1361251412839954,0.7703056232806035,0.7209369766452285,0.35128543641200594,0.17639469885926148,4.8919842229329366e-05,100.0,False,False,,
member,3,0.002,2,0.002,100,1.866049127036118,0.7348252725267728,2.1368783852568054,0.7703893429270448,0.7207541883666113,0.3475724517935337,0.17565675485060994,4.891738163397476e-05,100.0,False,False,,
member,4,0.001,2,0.002,100,1.735606303890324,0.7907265131258072,2.517888479099457,3.0494355816056364,0.6688313206451518,0.7752136528647933,0.21111465928789533,6.404053862762414e-05,100.0,False,False,,
member,4,0.002,2,0.002,100,1.7365686273694871,0.7912472835847469,2.519681224457741,3.053576880530444,0.6699801306173694,0.7891819067347754,0.20948772789106224,6.397133412199974e-05,100.0,False,False,,
member,5,0.001,2,0.002,100,1.9482142125858077,0.6807419876851755,2.2521831323450945,5.967314627922865,0.5780690388853611,0.5494118345646171,0.09697676655528725,4.8981506685060334e-05,100.0,False,False,,
member,5,0.002,2,0.002,100,1.9487840028861347,0.6820932457917122,2.261930305351121,5.96808270262935,0.577997404603833,0.5429282453414928,0.09354264703775868,4.899290972498052e-05,100.0,False,False,,
member,6,0.001,2,0.002,100,1.9124173345941986,0.7008598964826465,2.1002362235443526,0.8675299787498733,0.5643444190452603,0.4330474820735719,0.1528398889409598,3.293551907600833e-05,100.0,False,False,,
member,6,0.002,2,0.002,100,1.9129032829937505,0.7013654860198372,2.103614155424288,0.8665526959463928,0.5642543553147874,0.43262345088503285,0.15328920380205607,3.295123342216573e-05,100.0,False,False,,
member,7,0.001,2,0.002,100,1.697414790710284,0.7206912373189278,2.430316175775725,3.1806195513311804,0.6374537546337845,0.8242442383661324,0.16322576174314463,1.8191339769900345e-05,100.0,False,False,,
member,7,0.002,2,0.002,100,1.6976738850283017,0.7208571241513182,2.4300951938909723,3.1738073514818286,0.6381179951128219,0.8112797810484795,0.1621580466533326,1.8183402141495053e-05,100.0,False,False,,
member,8,0.001,2,0.002,100,2.028386521373365,0.6991658093229286,2.119114146793548,3.0504013911446184,0.5977322630751463,0.39095663225379385,0.21840842855114406,0.00011839455774933933,100.0,False,False,,
member,8,0.002,2,0.002,100,2.028639046388585,0.699843238484245,2.1206838616248898,3.040478374991525,0.5976748766513676,0.3767061386340105,0.21687348338370507,0.00011842500849789986,100.0,False,False,,
aggregate,all,0.001,2,0.002,800,,0.7402070879942804,2.2968412645183944,7.052580877577966,0.6310378006308729,0.17093202028252197,0.18764167494181846,1.8191339769900345e-05,800.0,False,False,,
aggregate,all,0.002,2,0.002,800,,0.7408216991474592,2.2999207994826194,7.041919797577647,0.631268407809078,0.1623767896798909,0.18653764946499338,1.8183402141495053e-05,800.0,False,False,,
cross_epsilon,1,both,2,0.002,100,,,,,,,,,,False,False,0.00010818580369322415,0.9999999931884199
cross_epsilon,2,both,2,0.002,100,,,,,,,,,,False,False,0.00011661941226482393,0.9999999921507241
cross_epsilon,3,both,2,0.002,100,,,,,,,,,,False,False,0.00010737486954555637,0.9999999940067983
cross_epsilon,4,both,2,0.002,100,,,,,,,,,,False,False,0.00011315941334495957,0.9999999929969816
cross_epsilon,5,both,2,0.002,100,,,,,,,,,,False,False,8.732326735402728e-05,0.9999999958332523
cross_epsilon,6,both,2,0.002,100,,,,,,,,,,False,False,0.0001040169952493618,0.9999999939997046
cross_epsilon,7,both,2,0.002,100,,,,,,,,,,False,False,9.51016950642087e-05,0.9999999950597073
cross_epsilon,8,both,2,0.002,100,,,,,,,,,,False,False,0.00010041906840011922,0.9999999943484705
